verbose name,date,count_in
Sensor 11.1 - Info Centre/East Link L2 State Library Victoria,2022-06-10,895
Sensor 11.1 - Info Centre/East Link L2 State Library Victoria,2022-06-11,1189
Sensor 11.1 - Info Centre/East Link L2 State Library Victoria,2022-06-12,1091
Sensor 11.2 - Info Centre/East Link L2 State Library Victoria,2022-06-06,989
Sensor 11.2 - Info Centre/East Link L2 State Library Victoria,2022-06-07,1181
Sensor 11.2 - Info Centre/East Link L2 State Library Victoria,2022-06-08,1111
Sensor 11.2 - Info Centre/East Link L2 State Library Victoria,2022-06-09,1010
Sensor 11.2 - Info Centre/East Link L2 State Library Victoria,2022-06-10,1098
Sensor 11.2 - Info Centre/East Link L2 State Library Victoria,2022-06-11,1360
Sensor 11.2 - Info Centre/East Link L2 State Library Victoria,2022-06-12,1564
Sensor 11.3 - Info Centre/East Link L2 State Library Victoria,2022-06-06,345
Sensor 11.3 - Info Centre/East Link L2 State Library Victoria,2022-06-07,372
Sensor 11.3 - Info Centre/East Link L2 State Library Victoria,2022-06-08,351
Sensor 11.3 - Info Centre/East Link L2 State Library Victoria,2022-06-09,356
Sensor 11.3 - Info Centre/East Link L2 State Library Victoria,2022-06-10,340
Sensor 11.3 - Info Centre/East Link L2 State Library Victoria,2022-06-11,430
Sensor 11.3 - Info Centre/East Link L2 State Library Victoria,2022-06-12,473
Sensor 12 - The Ian Potter Queen's Hall L3 lift State Library Victoria,2022-06-06,37
Sensor 12 - The Ian Potter Queen's Hall L3 lift State Library Victoria,2022-06-07,31
Sensor 12 - The Ian Potter Queen's Hall L3 lift State Library Victoria,2022-06-08,70
Sensor 12 - The Ian Potter Queen's Hall L3 lift State Library Victoria,2022-06-09,53
Sensor 12 - The Ian Potter Queen's Hall L3 lift State Library Victoria,2022-06-10,49
Sensor 12 - The Ian Potter Queen's Hall L3 lift State Library Victoria,2022-06-11,32
Sensor 12 - The Ian Potter Queen's Hall L3 lift State Library Victoria,2022-06-12,52
Sensor 13 - The Ian Potter Queen's Hall L3/West Link State Library Victoria,2022-06-06,435
Sensor 13 - The Ian Potter Queen's Hall L3/West Link State Library Victoria,2022-06-07,420
Sensor 13 - The Ian Potter Queen's Hall L3/West Link State Library Victoria,2022-06-08,517
Sensor 13 - The Ian Potter Queen's Hall L3/West Link State Library Victoria,2022-06-09,774
